node_id,L1,L2,L3,L4_job_role,core_skills,typical_titles_en,typical_titles_zh,L1_zh
T020,Systems & Infrastructure Software,Security,Security Research & Vulnerability,Security Researcher / Vulnerability Engineer,"Reverse engineering, exploit development, fuzzing, CVE research, binary analysis","Security Researcher, Vulnerability Researcher, Exploit Developer, Red Team Engineer","安全研究员, 漏洞研究员, 红队工程师, 渗透测试工程师",系统与基础设施软件
T021,Systems & Infrastructure Software,Security,Application Security,Application Security Engineer,"SAST/DAST, threat modeling, secure SDLC, code review, OWASP","Application Security Engineer, AppSec Engineer, Product Security Engineer","应用安全工程师, 产品安全工程师, 安全开发工程师",系统与基础设施软件
T022,Systems & Infrastructure Software,Security,Security Operations,Security Operations Engineer (SecOps/SOC),"SIEM, incident response, threat hunting, log analysis, EDR/XDR","SOC Analyst, Security Operations Engineer, Incident Response Engineer, Threat Hunter","安全运营工程师, SOC分析师, 应急响应工程师, 威胁猎手",系统与基础设施软件
T023,Systems & Infrastructure Software,Security,Cryptography & Identity,Cryptography / Identity Engineer,"PKI, cryptographic protocols, IAM, OAuth/OIDC, zero-trust architecture","Cryptography Engineer, Identity Engineer, IAM Engineer","密码学工程师, 身份认证工程师, IAM工程师",系统与基础设施软件
T024,Cloud & Platform Infrastructure,Cloud Platform Engineering,Cloud Infrastructure,Cloud Infrastructure Engineer,"AWS/GCP/Azure, IaC (Terraform/Pulumi), VPC, compute/storage/networking services","Cloud Engineer, Cloud Infrastructure Engineer, Cloud Platform Engineer","云工程师, 云基础设施工程师, 云平台工程师",云与平台基础设施
T025,Cloud & Platform Infrastructure,Cloud Platform Engineering,Site Reliability Engineering,Site Reliability Engineer (SRE),"SLO/SLA/SLI, incident management, capacity planning, chaos engineering, Go/Python","Site Reliability Engineer, SRE, Production Engineer","SRE工程师, 可靠性工程师, 生产工程师",云与平台基础设施
T026,Cloud & Platform Infrastructure,Cloud Platform Engineering,DevOps & CI/CD,DevOps Engineer,"CI/CD pipelines (Jenkins/GitHub Actions/GitLab CI), Docker, Kubernetes, GitOps","DevOps Engineer, Platform Engineer, Release Engineer, Build Engineer","DevOps工程师, 平台工程师, 发布工程师",云与平台基础设施
T027,Cloud & Platform Infrastructure,Container & Orchestration,Kubernetes & Container Platform,Kubernetes / Container Platform Engineer,"Kubernetes internals, Helm, service mesh (Istio), container security, multi-cluster","Kubernetes Engineer, Container Platform Engineer, Cloud Native Engineer","Kubernetes工程师, 容器平台工程师, 云原生工程师",云与平台基础设施
T028,Cloud & Platform Infrastructure,Observability & Monitoring,Observability Engineering,Observability Engineer,"Metrics/logs/traces (Prometheus/Grafana/Jaeger/OpenTelemetry), APM, alerting","Observability Engineer, Monitoring Engineer, Platform Reliability Engineer","可观测性工程师, 监控工程师, 平台稳定性工程师",云与平台基础设施
T029,Cloud & Platform Infrastructure,Storage & Data Infrastructure,Distributed Storage,Distributed Storage Engineer,"Distributed file systems (HDFS/Ceph/S3), object storage, consistency protocols","Storage Engineer, Distributed Storage Engineer, Object Storage Engineer","存储工程师, 分布式存储工程师, 对象存储工程师",云与平台基础设施
T030,Data & AI Platform,Data Engineering,Data Pipeline & ETL,Data Engineer,"ETL/ELT pipelines, Spark/Flink, Airflow, data warehousing (Snowflake/BigQuery/Hive)","Data Engineer, ETL Engineer, Data Pipeline Engineer","数据工程师, ETL工程师, 数据管道工程师",数据与AI平台
T031,Data & AI Platform,Data Engineering,Data Warehouse & Lakehouse,Data Warehouse / Lakehouse Engineer,"Data modeling, dimensional modeling, dbt, Lakehouse (Delta Lake/Iceberg), SQL optimization","Data Warehouse Engineer, Analytics Engineer, Lakehouse Engineer","数仓工程师, 分析工程师, 湖仓工程师",数据与AI平台
T032,Data & AI Platform,Data Engineering,Real-time Streaming,Streaming Data Engineer,"Kafka, Flink/Spark Streaming, real-time processing, event-driven architecture","Streaming Engineer, Real-time Data Engineer, Kafka Engineer","实时数据工程师, 流式计算工程师, Kafka工程师",数据与AI平台
T033,Data & AI Platform,Machine Learning Engineering,ML Platform & Infrastructure,ML Platform Engineer,"MLflow/Kubeflow, feature store, model registry, training infrastructure, GPU cluster","ML Platform Engineer, MLOps Engineer, AI Infrastructure Engineer","ML平台工程师, MLOps工程师, AI基础设施工程师",数据与AI平台
T034,Data & AI Platform,Machine Learning Engineering,ML Model Development,Machine Learning Engineer,"Model training, PyTorch/TensorFlow, feature engineering, model evaluation, A/B testing","Machine Learning Engineer, ML Engineer, AI Engineer","机器学习工程师, ML工程师, AI工程师",数据与AI平台
T035,Data & AI Platform,Machine Learning Engineering,Deep Learning & Neural Networks,Deep Learning Engineer,"Deep learning architectures (CNN/RNN/Transformer), GPU training, model optimization","Deep Learning Engineer, Neural Network Engineer, Research Engineer (DL)","深度学习工程师, 神经网络工程师",数据与AI平台
T036,Data & AI Platform,AI Research,AI/ML Research,AI Research Scientist,"Novel algorithm design, paper publication, experimental design, mathematical modeling","Research Scientist, AI Researcher, ML Researcher, Research Engineer","AI研究员, 算法研究员, 机器学习研究员",数据与AI平台
T037,Data & AI Platform,AI Research,NLP & Large Language Models,NLP / LLM Engineer,"Transformer architecture, LLM fine-tuning (LoRA/RLHF), RAG, prompt engineering, tokenization","NLP Engineer, LLM Engineer, Conversational AI Engineer, GenAI Engineer","NLP工程师, 大模型工程师, 生成式AI工程师",数据与AI平台
T038,Data & AI Platform,AI Research,Computer Vision,Computer Vision Engineer,"Image/video understanding, object detection, segmentation, 3D vision, OpenCV/PyTorch","Computer Vision Engineer, CV Engineer, Vision Algorithm Engineer","计算机视觉工程师, CV工程师, 视觉算法工程师",数据与AI平台
T039,Data & AI Platform,AI Research,Multimodal AI,Multimodal AI Engineer,"Vision-language models, audio-visual fusion, CLIP/DALL-E/Stable Diffusion type systems","Multimodal AI Engineer, Foundation Model Engineer, AIGC Engineer","多模态AI工程师, 基础模型工程师, AIGC工程师",数据与AI平台
T040,Data & AI Platform,Data Science & Analytics,Data Science,Data Scientist,"Statistical modeling, A/B testing, Python/R, business problem framing, ML application","Data Scientist, Applied Scientist, Quantitative Analyst","数据科学家, 应用科学家, 量化分析师",数据与AI平台
T041,Data & AI Platform,Data Science & Analytics,Data Analytics,Data Analyst,"SQL, BI tools (Tableau/Power BI/Looker), dashboards, business metrics, data storytelling","Data Analyst, Business Intelligence Analyst, BI Developer","数据分析师, BI分析师, 商业智能工程师",数据与AI平台
T042,Application Software,Backend Development,Backend API Development,Backend Engineer,"REST/GraphQL API, microservices, Java/Go/Python/Node.js, SQL/NoSQL, system design","Backend Engineer, Backend Developer, Server-side Engineer, API Engineer","后端工程师, 服务端工程师, API工程师",应用软件
T043,Application Software,Backend Development,Distributed Systems,Distributed Systems Engineer,"Distributed consensus, message queues, high availability, CAP theorem, Go/Java","Distributed Systems Engineer, Backend Infrastructure Engineer","分布式系统工程师, 后端基础架构工程师",应用软件
T044,Application Software,Frontend Development,Web Frontend,Frontend Engineer,"HTML/CSS/JavaScript, React/Vue/Angular, TypeScript, performance optimization, browser APIs","Frontend Engineer, Frontend Developer, Web Developer, UI Engineer","前端工程师, Web前端工程师, UI工程师",应用软件
T045,Application Software,Frontend Development,Mobile App Development,Mobile App Engineer,"iOS (Swift/Obj-C) or Android (Kotlin/Java), or cross-platform (React Native/Flutter)","iOS Engineer, Android Engineer, Mobile Developer, React Native Developer","iOS工程师, Android工程师, 移动端工程师, 跨平台开发工程师",应用软件
T046,Application Software,Full-Stack & Platform App,Full-Stack Development,Full-Stack Engineer,"Frontend + backend combined, Node.js/Python + React/Vue, database, deployment basics","Full-Stack Engineer, Full-Stack Developer","全栈工程师, 全栈开发工程师",应用软件
T047,Application Software,Agent & AI Application Development,AI Application Development,AI Application Engineer,"LLM API integration, RAG systems, prompt engineering, LangChain/LlamaIndex, vector DB","AI Application Engineer, LLM Application Developer, GenAI Developer","AI应用工程师, 大模型应用开发工程师, GenAI开发工程师",应用软件
T048,Application Software,Agent & AI Application Development,Agent & Workflow Automation,AI Agent Engineer,"Autonomous agent frameworks (LangGraph/AutoGen/CrewAI), tool use, multi-agent systems","AI Agent Engineer, Agentic AI Developer, Workflow Automation Engineer","AI Agent工程师, 智能体开发工程师, 工作流自动化工程师",应用软件
T049,Application Software,Game Development,Game Client Development,Game Client Engineer,"Unity/Unreal Engine, C++/C#, rendering pipeline, physics, gameplay programming","Game Client Engineer, Gameplay Engineer, Game Developer","游戏客户端工程师, 游戏开发工程师, Gameplay工程师",应用软件
T050,Application Software,Game Development,Game Server Development,Game Server Engineer,"Game server architecture, real-time networking, C++/Go, matchmaking, anti-cheat","Game Server Engineer, Online Game Engineer, Game Backend Engineer","游戏服务端工程师, 网络游戏工程师",应用软件
T051,Application Software,Game Development,Game Engine & Graphics,Game Engine / Graphics Engineer,"Rendering engine, shader programming (HLSL/GLSL), GPU optimization, graphics APIs (Vulkan/DX12/Metal)","Graphics Engineer, Rendering Engineer, Game Engine Engineer","图形引擎工程师, 渲染工程师, 游戏引擎工程师",应用软件
T052,Application Software,Quality Assurance,Software Test Engineering,Software Test Engineer (QA),"Test planning, manual/automated testing, Selenium/Appium/Cypress, bug tracking","QA Engineer, Test Engineer, Software Tester, SDET","测试工程师, QA工程师, 自动化测试工程师, SDET",应用软件
T053,Application Software,Quality Assurance,Performance Testing,Performance Test Engineer,"Load testing, JMeter/Gatling/Locust, performance profiling, bottleneck analysis","Performance Test Engineer, Load Test Engineer, Performance Engineer","性能测试工程师, 压测工程师",应用软件
T054,Product & Design,Product Management,Product Management,Product Manager,"Product roadmap, PRD writing, user research, cross-functional collaboration, data-driven decisions","Product Manager, PM, Senior Product Manager, Group Product Manager","产品经理, 高级产品经理, 产品总监",产品与设计
T055,Product & Design,Product Management,Technical Product Management,Technical Product Manager (TPM),"API/platform product, technical requirements, working with engineering teams, system design literacy","Technical Product Manager, Platform PM, API PM","技术产品经理, 平台产品经理, API产品经理",产品与设计
T056,Product & Design,Product Management,AI Product Management,AI Product Manager,"AI/ML product design, model evaluation, responsible AI, data strategy, LLM product","AI Product Manager, ML Product Manager, GenAI PM","AI产品经理, 大模型产品经理",产品与设计
T057,Product & Design,UX & Design,UX Research,UX Researcher,"User interviews, usability testing, survey design, qualitative/quantitative research, insight synthesis","UX Researcher, User Researcher, Design Researcher","用户研究员, UX研究员, 设计研究员",产品与设计
T058,Product & Design,UX & Design,UX/UI Design,UX/UI Designer,"Interaction design, wireframing, prototyping, Figma, design systems, visual design","UX Designer, UI Designer, Product Designer, Interaction Designer","UX设计师, UI设计师, 产品设计师, 交互设计师",产品与设计
T059,Product & Design,UX & Design,Motion & Visual Design,Motion / Visual Designer,"Motion graphics, After Effects, brand visual design, illustration, design systems","Motion Designer, Visual Designer, Brand Designer","动效设计师, 视觉设计师, 品牌设计师",产品与设计
T060,Architecture & Engineering Leadership,Software Architecture,Software Architecture,Software Architect,"System design, architectural patterns (microservices/event-driven/CQRS), tech stack decisions, scalability","Software Architect, Solutions Architect, Principal Engineer, Staff Engineer","软件架构师, 解决方案架构师, 首席工程师, Staff工程师",架构与工程领导力
T061,Architecture & Engineering Leadership,Infrastructure Architecture,Cloud Architecture,Cloud Architect,"Cloud-native architecture, multi-cloud strategy, cost optimization, security architecture","Cloud Architect, Solutions Architect (Cloud), Enterprise Architect","云架构师, 解决方案架构师(云), 企业架构师",架构与工程领导力
T062,Architecture & Engineering Leadership,Data Architecture,Data Architecture,Data Architect,"Data modeling, data governance, metadata management, data platform design, lakehouse architecture","Data Architect, Enterprise Data Architect, Chief Data Architect","数据架构师, 企业数据架构师",架构与工程领导力
T063,Architecture & Engineering Leadership,AI Architecture,AI/ML Architecture,AI/ML Architect,"AI system design, model serving architecture, MLOps strategy, responsible AI framework","AI Architect, ML Architect, AI Platform Architect","AI架构师, ML架构师, AI平台架构师",架构与工程领导力
T064,Architecture & Engineering Leadership,Engineering Management,Engineering Management,Engineering Manager,"Team leadership, hiring, performance management, project delivery, technical strategy","Engineering Manager, EM, Director of Engineering, VP of Engineering","工程经理, 技术总监, 工程VP",架构与工程领导力
