course_id,course_name,proposed_skill,coverage_weight,existing_skill_id,evidence_source,confidence,review_note
CIT5930,Introduction to Computer Systems,Systems Programming,0.7,,course description,high,Low-level representation and execution
CIT5940,Data Structures & Software Design,Data Structures,1,,course description,high,Primary course subject
CIT5940,Data Structures & Software Design,Java,0.9,52,course description,high,Advanced Java
CIT5940,Data Structures & Software Design,Software Design,0.9,,course description,high,Primary course subject
CIT5940,Data Structures & Software Design,Design Patterns,0.8,,course description,high,Explicit topic
CIT5940,Data Structures & Software Design,Algorithm Analysis,0.7,,course description,high,Performance analysis of structures
CIT5950,Computer Systems Programming,Operating Systems,1,,course description,high,"Processes, scheduling, caching and virtual memory"
CIT5950,Computer Systems Programming,Systems Programming,1,,course description,high,Primary course subject
CIT5950,Computer Systems Programming,C,0.9,37,course description,high,Primary programming language
CIT5950,Computer Systems Programming,Concurrency,0.8,,course description,high,"Processes, threads and synchronization"
CIT5950,Computer Systems Programming,Computer Networking,0.7,,course description,high,Network communication and protocols
CIT5960,Algorithms & Computation,Algorithms,1,,course description,high,Primary course subject
CIT5960,Algorithms & Computation,Algorithm Analysis,1,,course description,high,Primary course subject
CIT5960,Algorithms & Computation,Dynamic Programming,0.9,,course description,high,Explicit design pattern
CIT5960,Algorithms & Computation,Graph Algorithms,0.9,,course description,high,Explicit topic
CIT5960,Algorithms & Computation,Computational Complexity,0.8,,course description,high,NP-completeness
DATS5750,Cloud Technologies Practicum (.5 CU),Cloud Computing,1,,course description,high,Primary course subject
DATS5750,Cloud Technologies Practicum (.5 CU),Cloud Architecture,0.9,,course description,high,Architecting robust scalable solutions
DATS5750,Cloud Technologies Practicum (.5 CU),Distributed Systems,0.8,,course description,high,Distributed computing principles
DATS5750,Cloud Technologies Practicum (.5 CU),Cloud Storage,0.7,,course description,high,Explicit infrastructure service
DATS5750,Cloud Technologies Practicum (.5 CU),Cloud Networking,0.7,,course description,high,Explicit infrastructure service
DATS5750,Cloud Technologies Practicum (.5 CU),Cloud Machine Learning,0.6,,course description,medium,Explicit cloud service area
DATS5980,Data Science Capstone,Applied Data Science,1,,course description,high,End-to-end real-world project
DATS5980,Data Science Capstone,Data Science Lifecycle,0.9,,course description,high,Full project lifecycle
DATS5980,Data Science Capstone,Data Pipeline,0.8,,course description,high,Course requires all aspects of the pipeline
DATS5980,Data Science Capstone,Data Science Project Management,0.7,,course description,high,"Project decisions, progress and mentors"
DATS5980,Data Science Capstone,Stakeholder Collaboration,0.6,,course description,medium,Industry partner and mentor collaboration
EAS5070,Intellectual Property Strategy and Business Law for Engineers,Intellectual Property,1,,course description,high,Primary course subject
EAS5070,Intellectual Property Strategy and Business Law for Engineers,Patent Strategy,1,,course description,high,Primary course subject
EAS5070,Intellectual Property Strategy and Business Law for Engineers,Technology Law,0.8,,course description,high,Legal changes affecting technology and AI
EAS5070,Intellectual Property Strategy and Business Law for Engineers,Corporate Transactions,0.7,,course description,high,"M&A, venture funding and market entry"
EAS5070,Intellectual Property Strategy and Business Law for Engineers,Innovation Strategy,0.7,,course description,high,IP as competitive advantage
EAS5160,Mathematical Foundations for Machine Learning I: Probability (0.5 CU),Probability,1,,course description,high,Primary course subject
EAS5160,Mathematical Foundations for Machine Learning I: Probability (0.5 CU),Probability Distributions,0.9,,course description,high,Discrete and continuous distributions
EAS5160,Mathematical Foundations for Machine Learning I: Probability (0.5 CU),Conditional Probability,0.8,,course description,high,Explicit topic
EAS5160,Mathematical Foundations for Machine Learning I: Probability (0.5 CU),Statistical Expectation,0.7,,course description,high,"Expectation, variance and moments"
EAS5170,Mathematical Foundations for Machine Learning II: Linear Algebra (.5 CU),Linear Algebra,1,,course description,high,Primary course subject
EAS5170,Mathematical Foundations for Machine Learning II: Linear Algebra (.5 CU),Vector Spaces,0.9,,course description,high,Explicit topic
EAS5170,Mathematical Foundations for Machine Learning II: Linear Algebra (.5 CU),Spectral Theory,0.8,,course description,high,Explicit topic
EAS5170,Mathematical Foundations for Machine Learning II: Linear Algebra (.5 CU),Machine Learning Mathematics,0.7,,course description,high,Mathematics underpinning ML
EAS5240,Technology Ethics and the Legal Landscape,Engineering Ethics,1,,course description,high,Primary course subject
EAS5240,Technology Ethics and the Legal Landscape,Technology Law,0.9,,course description,high,Primary course subject
EAS5240,Technology Ethics and the Legal Landscape,AI Ethics,0.8,,course description,high,AI case studies throughout
EAS5240,Technology Ethics and the Legal Landscape,Privacy,0.7,,course description,high,Explicit legal topic
EAS5240,Technology Ethics and the Legal Landscape,Technology Risk,0.7,,course description,high,"Risk, product design and professional liability"
EAS5440,Technology Innovation and Entrepreneurship,Entrepreneurship,1,,course description,high,Primary course subject
EAS5440,Technology Innovation and Entrepreneurship,Business Model Design,0.9,,course description,high,Explicit course outcome
EAS5440,Technology Innovation and Entrepreneurship,Opportunity Analysis,0.8,,course description,high,Explicit course outcome
EAS5440,Technology Innovation and Entrepreneurship,Financial Modeling,0.7,,course description,high,Explicit course activity
EAS5440,Technology Innovation and Entrepreneurship,Pitching,0.7,,course description,high,Pitch deck and presentation
EAS5720,Design Thinking for Engineering Innovation,Design Thinking,1,,course description,high,Primary course subject
EAS5720,Design Thinking for Engineering Innovation,User Research,0.9,,course description,high,Research and empathy-building
EAS5720,Design Thinking for Engineering Innovation,Problem Framing,0.9,,course description,high,Explicit design method
EAS5720,Design Thinking for Engineering Innovation,Prototyping,0.9,,course description,high,Prototype creation and testing
EAS5720,Design Thinking for Engineering Innovation,Systems Thinking,0.7,,course description,high,Explicit complementary skill
EAS5740,How to Use Data (.5 CU),Data Analysis,1,,course description,high,Primary course subject
EAS5740,How to Use Data (.5 CU),Data Wrangling,0.9,,course description,high,Explicit process step
EAS5740,How to Use Data (.5 CU),Data Visualization,0.8,,course description,high,Explicit topic
EAS5740,How to Use Data (.5 CU),Predictive Analytics,0.8,,course description,high,Explicit topic
EAS5740,How to Use Data (.5 CU),Data Storytelling,0.7,,course description,high,Presentation of insights
EAS5830,Blockchains (.5 CU),Blockchain,1,,course description,high,Primary course subject
EAS5830,Blockchains (.5 CU),Cryptography,0.8,,course description,high,Hash functions and digital signatures
EAS5830,Blockchains (.5 CU),Smart Contracts,0.9,,course description,high,Hands-on smart contract development
EAS5830,Blockchains (.5 CU),Solidity,0.8,24,course description,high,Explicit programming language
EAS5830,Blockchains (.5 CU),Python,0.6,10,course description,high,Blockchain interaction libraries
EAS5850,Imaging Informatics (.5 CU),Imaging Informatics,1,,course description,high,Primary course subject
EAS5850,Imaging Informatics (.5 CU),Healthcare Data,0.9,,course description,high,Clinical imaging data and standards
EAS5850,Imaging Informatics (.5 CU),Radiology Informatics,0.9,,course description,high,Primary clinical domain
EAS5850,Imaging Informatics (.5 CU),AI in Healthcare,0.7,,course description,high,Growing role of AI in radiology
EAS5850,Imaging Informatics (.5 CU),Generative AI,0.5,,course description,medium,Used in homework
EAS5860,Medical Image Analysis (.5 CU),Medical Image Analysis,1,,course description,high,Primary course subject
EAS5860,Medical Image Analysis (.5 CU),Computer Vision,0.9,,course description,high,Explicit foundation
EAS5860,Medical Image Analysis (.5 CU),Machine Learning,0.8,,course description,high,Applied to medical scans
EAS5860,Medical Image Analysis (.5 CU),Healthcare Data,0.6,,course description,medium,Clinical imaging context
EAS5870,Generative AI for Virtual Environments (.5 CU),Generative AI,1,,course description,high,Primary course subject
EAS5870,Generative AI for Virtual Environments (.5 CU),Unreal Engine,0.9,,course description,high,Primary implementation environment
EAS5870,Generative AI for Virtual Environments (.5 CU),Procedural Content Generation,0.9,,course description,high,Explicit workflow
EAS5870,Generative AI for Virtual Environments (.5 CU),Virtual Production,0.8,,course description,high,"Film, gaming and virtual production"
EAS5870,Generative AI for Virtual Environments (.5 CU),AI-Assisted Design,0.7,,course description,high,Environment and asset generation
ENGR5400,Engineering Economics,Engineering Economics,1,,course description,high,Primary course subject
ENGR5400,Engineering Economics,Cost Analysis,0.9,,course description,high,Cost-driven design and estimation
ENGR5400,Engineering Economics,Financial Modeling,0.8,,course description,high,"Financing, cash flow and financial statements"
ENGR5400,Engineering Economics,Risk Analysis,0.8,,course description,high,Uncertainty and probabilistic risk
ENGR5400,Engineering Economics,Investment Analysis,0.7,,course description,high,Rates of return and benefit-cost analysis
ESE5410,Machine Learning for Data Science,Machine Learning,1,,description and reviews,high,Primary course subject
ESE5410,Machine Learning for Data Science,Statistical Learning,0.9,,description and reviews,high,Reviews identify the statistical learning focus
ESE5410,Machine Learning for Data Science,Model Evaluation,0.9,,description and reviews,high,"Validation, uncertainty and cross-validation"
ESE5410,Machine Learning for Data Science,Regression and Classification,0.9,,description and reviews,high,Core model families
ESE5410,Machine Learning for Data Science,Python,0.7,10,description and reviews,high,Programming assignments use Python
ESE5420,Statistics for Data Science,Statistics,1,,description and reviews,high,Primary course subject
ESE5420,Statistics for Data Science,Hypothesis Testing,0.9,,course description,high,Explicit topic
ESE5420,Statistics for Data Science,Regression and Classification,0.9,,description and reviews,high,Explicit methods
ESE5420,Statistics for Data Science,Model Validation,0.8,,course description,high,Explicit topic
ESE5420,Statistics for Data Science,Python,0.7,10,description and reviews,high,Programming exercises and reviews
ESE5460,Principles of Deep Learning,Deep Learning,1,,description and reviews,high,Primary course subject
ESE5460,Principles of Deep Learning,Neural Networks,1,,course description,high,Deep network design and training
ESE5460,Principles of Deep Learning,Transformers,0.8,,course reviews,high,Reviews identify Transformer coverage
ESE5460,Principles of Deep Learning,Convolutional Neural Networks,0.8,,course reviews,high,Reviews identify CNN coverage
ESE5460,Principles of Deep Learning,Deep Learning Optimization,0.8,,description and reviews,high,"Training, learning rates and momentum"
ESE5460,Principles of Deep Learning,Variational Autoencoders,0.6,,course reviews,medium,Reviews identify VAE coverage
HCIN6022,Digital Health,Digital Health,1,,course description,high,Primary course subject
HCIN6022,Digital Health,Healthcare Data,0.9,,course description,high,Healthcare data types and patient data
HCIN6022,Digital Health,AI in Healthcare,0.7,,course description,high,Human-in-the-loop AI and emerging systems
HCIN6022,Digital Health,Healthcare Privacy and Security,0.8,,course description,high,"Privacy, security and confidentiality"
HCIN6022,Digital Health,Health Equity,0.7,,course description,high,Patient-centered care and equity
HCIN6022,Digital Health,Prototyping,0.6,,course description,high,Experimental prototype is a course outcome
